Scientific Name,IUCN Red List Status,Family,Order,Threat,Category
Agalychnis lemur,CR,Hylidae,Anura,General habitat alteration and loss,Habitat alteration and loss
Alsodes cantillanensis,CR,Alsodidae,Anura,General habitat alteration and loss,Habitat alteration and loss
Altiphrynoides osgoodi,CR,Bufonidae,Anura,General habitat alteration and loss,Habitat alteration and loss
Ambystoma andersoni,CR,Ambystomatidae,Caudata,General habitat alteration and loss,Habitat alteration and loss
Ambystoma dumerilii,CR,Ambystomatidae,Caudata,General habitat alteration and loss,Habitat alteration and loss
Ambystoma mexicanum,CR,Ambystomatidae,Caudata,General habitat alteration and loss,Habitat alteration and loss
Ambystoma taylori,CR,Ambystomatidae,Caudata,General habitat alteration and loss,Habitat alteration and loss
Andinobates geminisae,CR,Dendrobatidae,Anura,General habitat alteration and loss,Habitat alteration and loss
Andrias davidianus,CR,Cryptobranchidae,Caudata,General habitat alteration and loss,Habitat alteration and loss
Anilany helenae,CR,Microhylidae,Anura,General habitat alteration and loss,Habitat alteration and loss
Arthroleptis nikeae,CR,Arthroleptidae,Anura,General habitat alteration and loss,Habitat alteration and loss
Atelognathus patagonicus,CR,Batrachylidae,Anura,General habitat alteration and loss,Habitat alteration and loss
Atelopus arthuri,CR,Bufonidae,Anura,General habitat alteration and loss,Habitat alteration and loss
Atelopus coynei,CR,Bufonidae,Anura,General habitat alteration and loss,Habitat alteration and loss
Atelopus glyphus,CR,Bufonidae,Anura,General habitat alteration and loss,Habitat alteration and loss
Atelopus guanujo,CR,Bufonidae,Anura,General habitat alteration and loss,Habitat alteration and loss
Atelopus ignescens,CR,Bufonidae,Anura,General habitat alteration and loss,Habitat alteration and loss
Atelopus limosus,CR,Bufonidae,Anura,General habitat alteration and loss,Habitat alteration and loss
Atelopus nanay,CR,Bufonidae,Anura,General habitat alteration and loss,Habitat alteration and loss
Atelopus oxyrhynchus,CR,Bufonidae,Anura,General habitat alteration and loss,Habitat alteration and loss
Atelopus sorianoi,CR,Bufonidae,Anura,General habitat alteration and loss,Habitat alteration and loss
Atelopus tricolor,CR,Bufonidae,Anura,General habitat alteration and loss,Habitat alteration and loss
Atelopus zeteki,CR,Bufonidae,Anura,General habitat alteration and loss,Habitat alteration and loss
Balebreviceps hillmani,CR,Brevicipitidae,Anura,General habitat alteration and loss,Habitat alteration and loss
Beduka tigeria,CR,Bufonidae,Anura,General habitat alteration and loss,Habitat alteration and loss
Bokermannohyla izecksohni,CR,Hylidae,Anura,General habitat alteration and loss,Habitat alteration and loss
Bolitoglossa celaque,CR,Plethodontidae,Caudata,General habitat alteration and loss,Habitat alteration and loss
Bolitoglossa chucantiensis,CR,Plethodontidae,Caudata,General habitat alteration and loss,Habitat alteration and loss
Bolitoglossa jacksoni,CR,Plethodontidae,Caudata,General habitat alteration and loss,Habitat alteration and loss
Bolitoglossa longissima,CR,Plethodontidae,Caudata,General habitat alteration and loss,Habitat alteration and loss
Bolitoglossa oresbia,CR,Plethodontidae,Caudata,General habitat alteration and loss,Habitat alteration and loss
Boophis ankarafensis,CR,Mantellidae,Anura,General habitat alteration and loss,Habitat alteration and loss
Boophis baetkei,CR,Mantellidae,Anura,General habitat alteration and loss,Habitat alteration and loss
Boophis liami,CR,Mantellidae,Anura,General habitat alteration and loss,Habitat alteration and loss
Boophis williamsi,CR,Mantellidae,Anura,General habitat alteration and loss,Habitat alteration and loss
Callulina laphami,CR,Brevicipitidae,Anura,General habitat alteration and loss,Habitat alteration and loss
Callulina stanleyi,CR,Brevicipitidae,Anura,General habitat alteration and loss,Habitat alteration and loss
Calotriton arnoldi,CR,Salamandridae,Caudata,General habitat alteration and loss,Habitat alteration and loss
Capensibufo rosei,CR,Bufonidae,Anura,General habitat alteration and loss,Habitat alteration and loss
Chiropterotriton mosaueri,CR,Plethodontidae,Caudata,General habitat alteration and loss,Habitat alteration and loss
Churamiti maridadi,CR,Bufonidae,Anura,General habitat alteration and loss,Habitat alteration and loss
Craugastor chrysozetetes,CR,Craugastoridae,Anura,General habitat alteration and loss,Habitat alteration and loss
Craugastor milesi,CR,Craugastoridae,Anura,General habitat alteration and loss,Habitat alteration and loss
Craugastor ranoides,CR,Craugastoridae,Anura,General habitat alteration and loss,Habitat alteration and loss
Cryptotriton monzoni,CR,Plethodontidae,Caudata,General habitat alteration and loss,Habitat alteration and loss
Cryptotriton sierraminensis,CR,Plethodontidae,Caudata,General habitat alteration and loss,Habitat alteration and loss
Cycloramphus faustoi,CR,Cycloramphidae,Anura,General habitat alteration and loss,Habitat alteration and loss
Cynops fudingensis,CR,Salamandridae,Caudata,General habitat alteration and loss,Habitat alteration and loss
Dendrotriton chujorum,CR,Plethodontidae,Caudata,General habitat alteration and loss,Habitat alteration and loss
Diasporus pequeno,CR,Eleutherodactylidae,Anura,General habitat alteration and loss,Habitat alteration and loss
Duttaphrynus noellerti,CR,Bufonidae,Anura,General habitat alteration and loss,Habitat alteration and loss
Echinotriton chinhaiensis,CR,Salamandridae,Caudata,General habitat alteration and loss,Habitat alteration and loss
Echinotriton maxiquadratus,CR,Salamandridae,Caudata,General habitat alteration and loss,Habitat alteration and loss
Ecnomiohyla rabborum,CR,Hylidae,Anura,General habitat alteration and loss,Habitat alteration and loss
Eleutherodactylus albipes,CR,Eleutherodactylidae,Anura,General habitat alteration and loss,Habitat alteration and loss
Eleutherodactylus bartonsmithi,CR,Eleutherodactylidae,Anura,General habitat alteration and loss,Habitat alteration and loss
Eleutherodactylus bresslerae,CR,Eleutherodactylidae,Anura,General habitat alteration and loss,Habitat alteration and loss
Eleutherodactylus cubanus,CR,Eleutherodactylidae,Anura,General habitat alteration and loss,Habitat alteration and loss
Eleutherodactylus jasperi,CR,Eleutherodactylidae,Anura,General habitat alteration and loss,Habitat alteration and loss
Eleutherodactylus locustus,CR,Eleutherodactylidae,Anura,General habitat alteration and loss,Habitat alteration and loss
