Year	Taxon	CountType	myCount
1992	Anura	RawCount	0
1993	Anura	RawCount	57
1994	Anura	RawCount	1
1995	Anura	RawCount	31
1996	Anura	RawCount	32
1997	Anura	RawCount	50
1998	Anura	RawCount	29
1999	Anura	RawCount	39
2000	Anura	RawCount	177
2001	Anura	RawCount	97
2002	Anura	RawCount	159
2003	Anura	RawCount	216
2004	Anura	RawCount	154
2005	Anura	RawCount	400
2006	Anura	RawCount	268
2007	Anura	RawCount	430
2008	Anura	RawCount	351
2009	Anura	RawCount	176
2010	Anura	RawCount	192
2011	Anura	RawCount	242
2012	Anura	RawCount	273
2013	Anura	RawCount	232
2014	Anura	RawCount	215
2015	Anura	RawCount	292
2016	Anura	RawCount	174
2017	Anura	RawCount	285
2018	Anura	RawCount	292
2019	Anura	RawCount	248
2020	Anura	RawCount	284
1992	Caudata	RawCount	0
1993	Caudata	RawCount	13
1994	Caudata	RawCount	12
1995	Caudata	RawCount	22
1996	Caudata	RawCount	2
1997	Caudata	RawCount	17
1998	Caudata	RawCount	22
1999	Caudata	RawCount	34
2000	Caudata	RawCount	30
2001	Caudata	RawCount	77
2002	Caudata	RawCount	27
2003	Caudata	RawCount	12
2004	Caudata	RawCount	61
2005	Caudata	RawCount	51
2006	Caudata	RawCount	52
2007	Caudata	RawCount	24
2008	Caudata	RawCount	18
2009	Caudata	RawCount	7
2010	Caudata	RawCount	9
2011	Caudata	RawCount	28
2012	Caudata	RawCount	42
2013	Caudata	RawCount	35
2014	Caudata	RawCount	16
2015	Caudata	RawCount	14
2016	Caudata	RawCount	9
2017	Caudata	RawCount	11
2018	Caudata	RawCount	18
2019	Caudata	RawCount	26
2020	Caudata	RawCount	28
1992	Gymnophiona	RawCount	0
1993	Gymnophiona	RawCount	4
1994	Gymnophiona	RawCount	0
1995	Gymnophiona	RawCount	0
1996	Gymnophiona	RawCount	0
1997	Gymnophiona	RawCount	0
1998	Gymnophiona	RawCount	0
1999	Gymnophiona	RawCount	1
2000	Gymnophiona	RawCount	2
2001	Gymnophiona	RawCount	0
2002	Gymnophiona	RawCount	7
2003	Gymnophiona	RawCount	0
2004	Gymnophiona	RawCount	5
2005	Gymnophiona	RawCount	4
2006	Gymnophiona	RawCount	5
2007	Gymnophiona	RawCount	5
2008	Gymnophiona	RawCount	8
2009	Gymnophiona	RawCount	1
2010	Gymnophiona	RawCount	3
2011	Gymnophiona	RawCount	10
2012	Gymnophiona	RawCount	4
2013	Gymnophiona	RawCount	2
2014	Gymnophiona	RawCount	5
2015	Gymnophiona	RawCount	5
2016	Gymnophiona	RawCount	0
2017	Gymnophiona	RawCount	5
2018	Gymnophiona	RawCount	4
2019	Gymnophiona	RawCount	8
2020	Gymnophiona	RawCount	2
1992	unspecified Anura	RawCount	0
1993	unspecified Anura	RawCount	4
1994	unspecified Anura	RawCount	0
1995	unspecified Anura	RawCount	1
1996	unspecified Anura	RawCount	2
1997	unspecified Anura	RawCount	1
1998	unspecified Anura	RawCount	8
1999	unspecified Anura	RawCount	4
2000	unspecified Anura	RawCount	20
2001	unspecified Anura	RawCount	8
2002	unspecified Anura	RawCount	65
2003	unspecified Anura	RawCount	69
2004	unspecified Anura	RawCount	59
2005	unspecified Anura	RawCount	122
2006	unspecified Anura	RawCount	103
2007	unspecified Anura	RawCount	84
2008	unspecified Anura	RawCount	141
2009	unspecified Anura	RawCount	188
2010	unspecified Anura	RawCount	229
2011	unspecified Anura	RawCount	275
2012	unspecified Anura	RawCount	184
2013	unspecified Anura	RawCount	205
2014	unspecified Anura	RawCount	133
2015	unspecified Anura	RawCount	379
2016	unspecified Anura	RawCount	171
2017	unspecified Anura	RawCount	183
2018	unspecified Anura	RawCount	406
2019	unspecified Anura	RawCount	272
2020	unspecified Anura	RawCount	405
1992	unspecified Caudata	RawCount	0
1993	unspecified Caudata	RawCount	0
1994	unspecified Caudata	RawCount	0
1995	unspecified Caudata	RawCount	0
1996	unspecified Caudata	RawCount	1
1997	unspecified Caudata	RawCount	0
1998	unspecified Caudata	RawCount	0
1999	unspecified Caudata	RawCount	1
2000	unspecified Caudata	RawCount	3
2001	unspecified Caudata	RawCount	6
2002	unspecified Caudata	RawCount	0
2003	unspecified Caudata	RawCount	14
2004	unspecified Caudata	RawCount	13
2005	unspecified Caudata	RawCount	1
