ID,Species,Organization,Type,Source,No_Media
ypm:vz:23166,Potamotyphlus kaupii,"Vertebrate Zoology Division - Herpetology, Yale Peabody Museum",Biological Specimen,User Created,2
lsumz:herps:27295,Epicrionops bicolor,LSUMZ Herps Collection,Biological Specimen,iDigBio,4
ncsm:ncsm-herp:105060,Ichthyophis sp.,NCSM Herpetology Collection,Biological Specimen,User Created,0
cas:herp:85521,Chthonerpeton indistinctum,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
MCP:2062,Luetkenotyphlus brasiliensis,Coleção de Anfíbios,Biological Specimen,User Created,2
cas:sua:21864,Oscaecilia ochrocephala,CAS Herpetology (HERP),Biological Specimen,iDigBio,5
cas:herp:259097,Geotrypetes seraphini,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
fmnh:amphibians and reptiles:204522,Gegeneophis carnosus,Field Museum of Natural History (Zoology) Amphibian and Reptile Collection,Biological Specimen,iDigBio,1
UF:Herp:137250,Gymnopis multiplicata,FLMNH Division of Herpetology,Biological Specimen,iDigBio,2
ncsm:herp:79205,Ichthyophis kohtaoensis,NCSM Herpetology Collection,Biological Specimen,iDigBio,4
amnh:herpetology:a-100590,Nectocaecilia petersii,AMNH Herpetology Collections,Biological Specimen,iDigBio,2
cas:herp:157063,Hypogeophis rostratus,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
mvz:amphibian and reptile specimens:179728,Typhlonectes natans,Museum of Vertebrate Zoology (MVZ) Herp Collection (Arctos),Biological Specimen,User Created,1
ummz:herps:139823,Indotyphlus battersbyi,"Museum of Zoology, Division of Reptiles & Amphibians",Biological Specimen,iDigBio,2
cas:herp:259051,Herpele squalostoma,CAS Herpetology (HERP),Biological Specimen,iDigBio,1
ncsm:herp:86611,Ichthyophis laosensis,NCSM Herpetology Collection,Biological Specimen,iDigBio,8
FMNH:Amphibians and Reptiles:249302,Potomotyphlus kaupii,Field Museum of Natural History (Zoology) Amphibian and Reptile Collection,Biological Specimen,iDigBio,2
cas:sua:10363,Microcaecilia albiceps,CAS Herpetology (HERP),Biological Specimen,iDigBio,3
