"","Species","n_media"
"1","Acanthixalus sonjae",1
"2","Adenomus kelaartii",1
"3","Afrixalus aureus",1
"4","Albericus darlingtoni",1
"5","Allophryne ruthveni",1
"6","Alsodes nodosus",1
"7","Alytes obstetricans",1
"8","Ambystoma mexicanum",1
"9","Amphiuma pholeter",1
"10","Amphiuma tridactylum",1
"11","Anaxyrus fowleri",1
"12","Anaxyrus quercicus",1
"13","Andrias davidianus",1
"14","Aneides hardii",1
"15","Aneides lugubris",1
"16","Anhydrophryne rattrayi",1
"17","Anotheca spinosa",1
"18","Ansonia mcgregori",1
"19","Arthroleptella lightfooti",1
"20","Arthroleptis bioko",1
"21","Astylosternus diadematus",1
"22","Astylosternus occidentalis",1
"23","Atelopus ignescens",1
"24","Atelopus oxyrhynchus",1
"25","Barbourula busuangensis",1
"26","Batrachoseps attenuatus",1
"27","Batrachoseps pacificus",1
"28","Batrachuperus pinchonii",1
"29","Bolitoglossa altamazonica",1
"30","Bolitoglossa alvaradoi",1
"31","Bolitoglossa epimela",1
"32","Bolitoglossa franklini",1
"33","Bolitoglossa lignicolor",1
"34","Bolitoglossa mexicana",1
"35","Bolitoglossa platydactyla",1
"36","Bolitoglossa porrasorum",1
"37","Bolitoglossa rufescens",1
"38","Bolitoglossa salvinii",1
"39","Bolitoglossa subpalmata",1
"40","Boulengerula boulengeri",35
"41","Brachycephalus ephippium",1
"42","Bradytriton silus",1
"43","Callulina kisiwamsitu",1
"44","Calotriton asper",1
"45","Calyptocephalella gayi",1
"46","Cardioglossa elegans",1
"47","Cardioglossa manengouba",1
"48","Centrolene buckleyi",1
"49","Ceratobatrachus guentheri",1
"50","Ceuthomantis smaragdinus",1
"51","Chacophrys pierottii",1
"52","Chiropterotriton chiropterus",1
"53","Chiropterotriton magnipes",1
"54","Chiropterotriton multidentatus",1
"55","Chiropterotriton priscus",1
"56","Chrysobatrachus cupreonitens",1
"57","Chthonerpeton indistinctum",1
"58","Conraua beccarii",1
"59","Conraua crassipes",1
"60","Conraua goliath",1
"61","Craugastor laticeps",1
"62","Crossodactylus trachystomus",1
"63","Cruziohyla calcarifer",1
"64","Cryptobatrachus boulengeri",1
"65","Cryptobranchus alleganiensis",1
"66","Cryptothylax greshoffii",1
"67","Cyclorana longipes",1
"68","Cynops orientalis",1
"69","Cynops pyrrhogaster",1
"70","Dendrotriton bromeliacius",1
"71","Desmognathus apalachicolae",1
"72","Desmognathus marmoratus",2
"73","Desmognathus quadramaculatus",1
"74","Dicamptodon ensatus",1
"75","Discodeles bufoniformis",1
"76","Echinotriton andersoni",1
"77","Ecnomiohyla tuberculosa",1
"78","Ensatina eschscholtzi",1
"79","Euproctus montanus",1
"80","Euproctus platycephalus",1
"81","Eupsophus roseus",1
"82","Eurycea cirrigera",1
