Genus_species,order,family,subfamily,genus,subgenus,species,common_name,gaa_name,CallsSpSum,ntotal_AWebCalls,ntotal_FrogIDCalls,ntotal_FonozooCalls,ntotal_MacaulayCalls,ntotal_FonotecaCalls,ntotal_BioWebCalls,ntotal_SonothequeCalls,ntotal_NSII_ChinaCalls
Eupsophus roseus,Anura,Alsodidae,,Eupsophus,,roseus,,Eupsophus roseus,33,0,0,33,0,0,0,0,0
Bufo gargarizans,Anura,Bufonidae,,Bufo,,gargarizans,Asiatic Toad,Bufo gargarizans,2,0,0,0,0,0,0,0,2
Rhinella marina,Anura,Bufonidae,,Rhinella,,marina,"South American Cane Toad, Cane Toad, Marine Toad, Giant Toad",Rhinella marina,1219,2,1137,21,25,22,7,5,0
Pseudacris regilla,Anura,Hylidae,Hylinae,Pseudacris,Hyliola,regilla,"Pacific Treefrog, Pacific Chorus Frog",Pseudacris regilla,3,2,0,1,0,0,0,0,0
Quasipaa delacouri,Anura,Dicroglossidae,Dicroglossinae,Quasipaa,,delacouri,"Doi Chang Asian Frog, Tonkin Asian Frog",,0,0,0,0,0,0,0,0,0
Scinax fuscomarginatus,Anura,Hylidae,Hylinae,Scinax,,fuscomarginatus,,Scinax fuscomarginatus,103,2,0,10,11,80,0,0,0
Paradactylodon persicus,Caudata,Hynobiidae,Hynobiinae,Paradactylodon,Paradactylodon,persicus,,Iranodon persicus,0,0,0,0,0,0,0,0,0
Indosylvirana nicobariensis,Anura,Ranidae,,Indosylvirana,,nicobariensis,Nicobar Island Frog,Bijurana nicobariensis,11,1,0,10,0,0,0,0,0
Bufotes pseudoraddei,Anura,Bufonidae,,Bufotes,,pseudoraddei,"Swat Green Toad, Swati gauk",Bufotes pseudoraddei,0,0,0,0,0,0,0,0,0
Sarcohyla crassa,Anura,Hylidae,Hylinae,Sarcohyla,,crassa,,Plectrohyla crassa,0,0,0,0,0,0,0,0,0
Cochranella ocellifera,Anura,Centrolenidae,Centroleninae,Cochranella,,ocellifera,,Centrolene ocellifera,0,0,0,0,0,0,0,0,0
Vitreorana ritae,Anura,Centrolenidae,Centroleninae,Vitreorana,,ritae,"Ritaâ€™s Glassfrog, Rana de Cristal de Rita, perereca-de-vidro",Vitreorana ritae,7,0,0,0,2,2,3,0,0
Pristimantis vilarsi,Anura,Strabomantidae,,Pristimantis,,vilarsi,,Pristimantis vilarsi,2,0,0,0,2,0,0,0,0
Fritziana fissilis,Anura,Hemiphractidae,,Fritziana,,fissilis,,Fritziana fissilis,5,0,0,0,4,1,0,0,0
Boana pulchella,Anura,Hylidae,Hylinae,Boana,,pulchella,,Hypsiboas pulchellus,49,0,0,39,3,7,0,0,0
Boana semilineata,Anura,Hylidae,Hylinae,Boana,,semilineata,,Hypsiboas semilineatus,17,0,0,1,0,16,0,0,0
Eleutherodactylus longipes,Anura,Eleutherodactylidae,Eleutherodactylinae,Eleutherodactylus,Syrrhophus,longipes,Rana chirriadora de la Huasteca,Eleutherodactylus longipes,0,0,0,0,0,0,0,0,0
Agalychnis medinae,Anura,Hylidae,Phyllomedusinae,Agalychnis,,medinae,,Agalychnis medinae,0,0,0,0,0,0,0,0,0
Gastrotheca marsupiata,Anura,Hemiphractidae,,Gastrotheca,,marsupiata,Marsupian Frog,Gastrotheca marsupiata,1,0,0,1,0,0,0,0,0
Adenomera hylaedactyla,Anura,Leptodactylidae,Leptodactylinae,Adenomera,,hylaedactyla,Dark-spotted Thin-toed Frog,Adenomera hylaedactyla,38,0,0,0,9,27,1,1,0
Rana sphenocephala,Anura,Ranidae,,Rana,Pantherana,sphenocephala,"Southern Leopard Frog (<i>R. s. sphenocephala</i>), Florida Leopard Frog (<i>R. s. utricularius</i>)",Lithobates sphenocephalus,18,1,0,0,17,0,0,0,0
Cryptotriton nasalis,Caudata,Plethodontidae,Hemidactyliinae,Cryptotriton,,nasalis,Cortes Salamander,Cryptotriton nasalis,0,0,0,0,0,0,0,0,0
Pelophylax lateralis,Anura,Ranidae,,Pelophylax,,lateralis,,Hylarana lateralis,0,0,0,0,0,0,0,0,0
Microkayla wettsteini,Anura,Strabomantidae,,Microkayla,,wettsteini,,Psychrophrynella wettsteini,6,0,0,6,0,0,0,0,0
Nanorana minica,Anura,Dicroglossidae,Dicroglossinae,Nanorana,,minica,,Nanorana minica,0,0,0,0,0,0,0,0,0
Odorrana heatwolei,Anura,Ranidae,,Odorrana,,heatwolei,,Odorrana tiannanensis,0,0,0,0,0,0,0,0,0
Zhangixalus hui,Anura,Rhacophoridae,Rhacophorinae,Zhangixalus,,hui,,Rhacophorus hui,0,0,0,0,0,0,0,0,0
Rhinella spinulosa,Anura,Bufonidae,,Rhinella,,spinulosa,,Rhinella spinulosa,3,0,0,1,0,2,0,0,0
Rhinella dorbignyi,Anura,Bufonidae,,Rhinella,,dorbignyi,,Rhinella dorbignyi,7,0,0,5,0,2,0,0,0
Rhinella margaritifera,Anura,Bufonidae,,Rhinella,margaritifera,margaritifera,"South American Common Toad, Mitred Toad",Rhinella margaritifera,40,0,0,5,14,8,8,5,0
Scinax fuscovarius,Anura,Hylidae,Hylinae,Scinax,,fuscovarius,,Scinax fuscovarius,107,1,0,62,6,38,0,0,0
Eurycea spelaea,Caudata,Plethodontidae,Hemidactyliinae,Eurycea,Typhlotriton,spelaea,"Grotto Salamander, Ozark Blind Cave Salamander",Eurycea spelaea,0,0,0,0,0,0,0,0,0
Boana rufitela,Anura,Hylidae,Hylinae,Boana,,rufitela,,Hypsiboas rufitelus,17,0,0,7,7,1,2,0,0
Ambystoma laterale,Caudata,Ambystomatidae,,Ambystoma,Xiphonura,laterale,Blue-spotted Salamander,Ambystoma laterale,0,0,0,0,0,0,0,0,0
Sclerophrys pantherina,Anura,Bufonidae,,Sclerophrys,,pantherina,Western Leopard Toad,Sclerophrys pantherina,0,0,0,0,0,0,0,0,0
Sclerophrys pardalis,Anura,Bufonidae,,Sclerophrys,,pardalis,Leopard Toad,Sclerophrys pardalis,0,0,0,0,0,0,0,0,0
