"year","continent","basisOfRecord","order","obvs"
2016,"Africa","HUMAN_OBSERVATION","Anura",742
2016,"Africa","HUMAN_OBSERVATION","Caudata",1
2016,"Africa","MACHINE_OBSERVATION","Anura",1
2016,"Africa","MATERIAL_SAMPLE","Anura",122
2016,"Africa","PRESERVED_SPECIMEN","",2
2016,"Africa","PRESERVED_SPECIMEN","Anura",1960
2016,"Africa","PRESERVED_SPECIMEN","Gymnophiona",51
2016,"Africa","UNKNOWN","Anura",1
2016,"Americas","FOSSIL_SPECIMEN","",9
2016,"Americas","FOSSIL_SPECIMEN","Caudata",3
2016,"Americas","HUMAN_OBSERVATION","",1
2016,"Americas","HUMAN_OBSERVATION","Anura",13148
2016,"Americas","HUMAN_OBSERVATION","Caudata",5688
2016,"Americas","HUMAN_OBSERVATION","Gymnophiona",8
2016,"Americas","LIVING_SPECIMEN","Anura",3
2016,"Americas","MACHINE_OBSERVATION","",3
2016,"Americas","MACHINE_OBSERVATION","Anura",88
2016,"Americas","MACHINE_OBSERVATION","Caudata",28
2016,"Americas","MACHINE_OBSERVATION","Gymnophiona",1
2016,"Americas","MATERIAL_SAMPLE","Anura",257
2016,"Americas","MATERIAL_SAMPLE","Caudata",9
2016,"Americas","MATERIAL_SAMPLE","Gymnophiona",2
2016,"Americas","PRESERVED_SPECIMEN","Anura",7073
2016,"Americas","PRESERVED_SPECIMEN","Caudata",782
2016,"Americas","PRESERVED_SPECIMEN","Gymnophiona",38
2016,"Americas","UNKNOWN","Anura",232
2016,"Americas","UNKNOWN","Caudata",27
2016,"Asia","HUMAN_OBSERVATION","Anura",31920
2016,"Asia","HUMAN_OBSERVATION","Caudata",97
2016,"Asia","HUMAN_OBSERVATION","Gymnophiona",2
2016,"Asia","MATERIAL_SAMPLE","Anura",261
2016,"Asia","MATERIAL_SAMPLE","Gymnophiona",1
2016,"Asia","PRESERVED_SPECIMEN","Anura",1917
2016,"Asia","PRESERVED_SPECIMEN","Caudata",8
2016,"Asia","PRESERVED_SPECIMEN","Gymnophiona",4
2016,"Europe","HUMAN_OBSERVATION","",28
2016,"Europe","HUMAN_OBSERVATION","Anura",34869
2016,"Europe","HUMAN_OBSERVATION","Caudata",19215
2016,"Europe","LITERATURE","Anura",1
2016,"Europe","LIVING_SPECIMEN","Anura",4
2016,"Europe","LIVING_SPECIMEN","Caudata",1
2016,"Europe","MATERIAL_SAMPLE","Anura",2
2016,"Europe","MATERIAL_SAMPLE","Caudata",4
2016,"Europe","PRESERVED_SPECIMEN","Anura",14
2016,"Europe","PRESERVED_SPECIMEN","Caudata",24
2016,"Europe","UNKNOWN","Anura",78
2016,"Europe","UNKNOWN","Caudata",25
2016,"Oceania","HUMAN_OBSERVATION","",5
2016,"Oceania","HUMAN_OBSERVATION","Anura",9221
2016,"Oceania","MACHINE_OBSERVATION","Anura",23
2016,"Oceania","MATERIAL_SAMPLE","Anura",95
2016,"Oceania","OBSERVATION","Anura",1150
2016,"Oceania","PRESERVED_SPECIMEN","",3
2016,"Oceania","PRESERVED_SPECIMEN","Anura",278
2016,NA,"HUMAN_OBSERVATION","Anura",157
2016,NA,"HUMAN_OBSERVATION","Caudata",77
2016,NA,"MATERIAL_SAMPLE","Anura",52
2016,NA,"PRESERVED_SPECIMEN","Anura",44
2016,NA,"PRESERVED_SPECIMEN","Caudata",20
2016,NA,"UNKNOWN","Anura",32
2016,NA,"UNKNOWN","Caudata",25
2017,"Africa","HUMAN_OBSERVATION","Anura",779
2017,"Africa","HUMAN_OBSERVATION","Caudata",1
2017,"Africa","HUMAN_OBSERVATION","Gymnophiona",1
2017,"Africa","MATERIAL_SAMPLE","Anura",17
2017,"Africa","PRESERVED_SPECIMEN","Anura",1375
2017,"Africa","PRESERVED_SPECIMEN","Gymnophiona",12
2017,"Americas","FOSSIL_SPECIMEN","",7
2017,"Americas","HUMAN_OBSERVATION","",1
2017,"Americas","HUMAN_OBSERVATION","Anura",19743
2017,"Americas","HUMAN_OBSERVATION","Caudata",6380
2017,"Americas","HUMAN_OBSERVATION","Gymnophiona",9
2017,"Americas","MACHINE_OBSERVATION","",2
2017,"Americas","MACHINE_OBSERVATION","Anura",56
2017,"Americas","MACHINE_OBSERVATION","Caudata",40
2017,"Americas","MATERIAL_SAMPLE","Anura",200
2017,"Americas","MATERIAL_SAMPLE","Caudata",280
2017,"Americas","PRESERVED_SPECIMEN","",1
2017,"Americas","PRESERVED_SPECIMEN","Anura",7958
2017,"Americas","PRESERVED_SPECIMEN","Caudata",549
2017,"Americas","PRESERVED_SPECIMEN","Gymnophiona",19
2017,"Americas","UNKNOWN","Anura",157
2017,"Americas","UNKNOWN","Caudata",23
2017,"Asia","HUMAN_OBSERVATION","Anura",2326
2017,"Asia","HUMAN_OBSERVATION","Caudata",113
2017,"Asia","HUMAN_OBSERVATION","Gymnophiona",2
2017,"Asia","MATERIAL_SAMPLE","Anura",218
2017,"Asia","MATERIAL_SAMPLE","Gymnophiona",1
2017,"Asia","PRESERVED_SPECIMEN","Anura",1280
2017,"Europe","HUMAN_OBSERVATION","",43
2017,"Europe","HUMAN_OBSERVATION","Anura",39864
2017,"Europe","HUMAN_OBSERVATION","Caudata",20963
2017,"Europe","MATERIAL_SAMPLE","Anura",21
2017,"Europe","MATERIAL_SAMPLE","Caudata",17
2017,"Europe","PRESERVED_SPECIMEN","Anura",10
2017,"Europe","PRESERVED_SPECIMEN","Caudata",6
2017,"Europe","UNKNOWN","Anura",89
2017,"Europe","UNKNOWN","Caudata",27
2017,"Oceania","HUMAN_OBSERVATION","",5
2017,"Oceania","HUMAN_OBSERVATION","Anura",11708
2017,"Oceania","MATERIAL_SAMPLE","Anura",124
2017,"Oceania","OBSERVATION","Anura",929
2017,"Oceania","PRESERVED_SPECIMEN","Anura",394
2017,"Oceania","UNKNOWN","Anura",13588
2017,NA,"HUMAN_OBSERVATION","Anura",287
2017,NA,"HUMAN_OBSERVATION","Caudata",84
2017,NA,"HUMAN_OBSERVATION","Gymnophiona",2
2017,NA,"MATERIAL_SAMPLE","Anura",3
2017,NA,"PRESERVED_SPECIMEN","Anura",46
2017,NA,"PRESERVED_SPECIMEN","Caudata",39
2017,NA,"UNKNOWN","Anura",9
2017,NA,"UNKNOWN","Caudata",18
2018,"Africa","HUMAN_OBSERVATION","Anura",1224
2018,"Africa","HUMAN_OBSERVATION","Caudata",4
2018,"Africa","HUMAN_OBSERVATION","Gymnophiona",1
2018,"Africa","MATERIAL_SAMPLE","Anura",11
2018,"Africa","PRESERVED_SPECIMEN","Anura",804
2018,"Africa","UNKNOWN","Anura",440
2018,"Africa","UNKNOWN","Gymnophiona",38
2018,"Americas","HUMAN_OBSERVATION","",1
2018,"Americas","HUMAN_OBSERVATION","Anura",25536
2018,"Americas","HUMAN_OBSERVATION","Caudata",10001
2018,"Americas","HUMAN_OBSERVATION","Gymnophiona",8
2018,"Americas","MACHINE_OBSERVATION","Anura",68
2018,"Americas","MACHINE_OBSERVATION","Caudata",28
2018,"Americas","MATERIAL_SAMPLE","Anura",127
2018,"Americas","MATERIAL_SAMPLE","Caudata",7
2018,"Americas","PRESERVED_SPECIMEN","Anura",5449
2018,"Americas","PRESERVED_SPECIMEN","Caudata",472
2018,"Americas","PRESERVED_SPECIMEN","Gymnophiona",22
2018,"Americas","UNKNOWN","Anura",130
2018,"Americas","UNKNOWN","Caudata",8
2018,"Asia","HUMAN_OBSERVATION","",3
2018,"Asia","HUMAN_OBSERVATION","Anura",4033
2018,"Asia","HUMAN_OBSERVATION","Caudata",131
2018,"Asia","HUMAN_OBSERVATION","Gymnophiona",8
2018,"Asia","MATERIAL_SAMPLE","Anura",69
2018,"Asia","PRESERVED_SPECIMEN","Anura",462
2018,"Asia","PRESERVED_SPECIMEN","Caudata",7
2018,"Europe","HUMAN_OBSERVATION","",58
2018,"Europe","HUMAN_OBSERVATION","Anura",54428
2018,"Europe","HUMAN_OBSERVATION","Caudata",18528
2018,"Europe","MACHINE_OBSERVATION","Anura",2
2018,"Europe","MATERIAL_SAMPLE","Anura",1
2018,"Europe","MATERIAL_SAMPLE","Caudata",12
2018,"Europe","PRESERVED_SPECIMEN","Anura",479
2018,"Europe","PRESERVED_SPECIMEN","Caudata",42
2018,"Europe","UNKNOWN","Anura",45
2018,"Europe","UNKNOWN","Caudata",13
2018,"Oceania","HUMAN_OBSERVATION","",46
2018,"Oceania","HUMAN_OBSERVATION","Anura",10634
2018,"Oceania","MATERIAL_SAMPLE","Anura",34
2018,"Oceania","OBSERVATION","Anura",2313
2018,"Oceania","PRESERVED_SPECIMEN","Anura",325
2018,"Oceania","UNKNOWN","Anura",62014
2018,NA,"HUMAN_OBSERVATION","Anura",238
2018,NA,"HUMAN_OBSERVATION","Caudata",86
2018,NA,"PRESERVED_SPECIMEN","Anura",12
2018,NA,"PRESERVED_SPECIMEN","Caudata",5
2018,NA,"UNKNOWN","Caudata",2
2019,"Africa","HUMAN_OBSERVATION","Anura",1648
2019,"Africa","HUMAN_OBSERVATION","Caudata",6
2019,"Africa","PRESERVED_SPECIMEN","Anura",485
2019,"Americas","HUMAN_OBSERVATION","Anura",43177
2019,"Americas","HUMAN_OBSERVATION","Caudata",19069
2019,"Americas","HUMAN_OBSERVATION","Gymnophiona",16
2019,"Americas","MACHINE_OBSERVATION","Anura",14
2019,"Americas","MACHINE_OBSERVATION","Caudata",7
2019,"Americas","MATERIAL_SAMPLE","Anura",347
2019,"Americas","MATERIAL_SAMPLE","Caudata",2
2019,"Americas","PRESERVED_SPECIMEN","Anura",3652
2019,"Americas","PRESERVED_SPECIMEN","Caudata",321
2019,"Americas","PRESERVED_SPECIMEN","Gymnophiona",9
2019,"Americas","UNKNOWN","Anura",18
2019,"Americas","UNKNOWN","Caudata",5
2019,"Asia","HUMAN_OBSERVATION","",4
2019,"Asia","HUMAN_OBSERVATION","Anura",6244
2019,"Asia","HUMAN_OBSERVATION","Caudata",316
2019,"Asia","HUMAN_OBSERVATION","Gymnophiona",4
2019,"Asia","MATERIAL_SAMPLE","Anura",4
2019,"Asia","PRESERVED_SPECIMEN","Anura",31
2019,"Europe","HUMAN_OBSERVATION","",61
2019,"Europe","HUMAN_OBSERVATION","Anura",38551
2019,"Europe","HUMAN_OBSERVATION","Caudata",13671
2019,"Europe","MATERIAL_SAMPLE","Anura",1
2019,"Europe","MATERIAL_SAMPLE","Caudata",4
2019,"Europe","PRESERVED_SPECIMEN","Anura",63
2019,"Europe","PRESERVED_SPECIMEN","Caudata",26
2019,"Europe","UNKNOWN","Anura",60
2019,"Europe","UNKNOWN","Caudata",1
2019,"Oceania","HUMAN_OBSERVATION","",19
2019,"Oceania","HUMAN_OBSERVATION","Anura",11703
2019,"Oceania","MACHINE_OBSERVATION","Anura",2
2019,"Oceania","MATERIAL_SAMPLE","Anura",49
2019,"Oceania","OBSERVATION","Anura",1066
2019,"Oceania","PRESERVED_SPECIMEN","",2
2019,"Oceania","PRESERVED_SPECIMEN","Anura",376
2019,"Oceania","UNKNOWN","Anura",50019
