Family,Name,Photo?,Submitted By,Date Submitted,
Allophrynidae,Allophryne relicta,,Vanikaa Keswani,6/30/2017,Anura
Allophrynidae,Allophryne resplendens,,Aditi Dubey,10/26/2012,Anura
Allophrynidae,Allophryne ruthveni,yes,Raul E. Diaz,11/13/2003,Anura
Alsodidae,Alsodes hugoi,yes,Raul E. Diaz,6/3/2004,Anura
Alsodidae,Alsodes norae,yes,Henry Zhu,10/24/2008,Anura
Alsodidae,Alsodes valdiviensis,,Sabrina Dean,7/15/2016,Anura
Alsodidae,Alsodes vanzolinii,yes,Vicki Thill,6/11/2015,Anura
Alsodidae,Eupsophus migueli,yes,"Spencer J. Mennis, Anthony Gilbert, Mingna (Vicky) Zhuang",6/23/2011,Anura
Alsodidae,Limnomedusa macroglossa,yes,Maxine Weber,11/2/2017,Anura
Alytidae,Alytes cisternasii,yes,Arie van der Meijden,9/22/1999,Anura
Alytidae,Alytes dickhilleni,yes,"Arie van der Meijden, John Cavagnaro",9/22/1999,Anura
Alytidae,Alytes muletensis,yes,Arie van der Meijden,9/22/1999,Anura
Alytidae,Alytes obstetricans,yes,Arie van der Meijden,9/22/1999,Anura
Alytidae,Discoglossus galganoi,yes,Arie van der Meijden,9/7/1999,Anura
Alytidae,Discoglossus montalentii,yes,Arie van der Meijden,9/7/1999,Anura
Alytidae,Discoglossus pictus,yes,Arie van der Meijden,9/7/1999,Anura
Alytidae,Discoglossus sardus,yes,Arie van der Meijden,9/15/1999,Anura
Alytidae,Latonia nigriventer,yes,"Arie van der Meijden, Ann T. Chang, Darren Ayoub",9/15/1999,Anura
Ambystomatidae,Ambystoma andersoni,yes,Christina Kang,6/12/2013,Caudata
Ambystomatidae,Ambystoma annulatum,yes,Charles P. McCormick,11/26/2002,Caudata
Ambystomatidae,Ambystoma bishopi,yes,"Jennifer McKenzie, K. Martin Perales and Veronica Corbett",8/27/2010,Caudata
Ambystomatidae,Ambystoma californiense,yes,"Greg LaMonte, Meredith J. Mahoney, Michelle Koo",10/4/1999,Caudata
Ambystomatidae,Ambystoma cingulatum,yes,Mark D. Cooperman,1/9/2003,Caudata
Ambystomatidae,Ambystoma dumerilii,yes,Sharon Liu,6/27/2007,Caudata
Ambystomatidae,Ambystoma flavipiperatum,yes,Mauro Hernandez and Jake Lee,3/25/2017,Caudata
Ambystomatidae,Ambystoma gracile,yes,John Romansic,4/13/1999,Caudata
Ambystomatidae,Ambystoma jeffersonianum,yes,Kevin Gin,11/25/2003,Caudata
Ambystomatidae,Ambystoma laterale,yes,Kevin Gin,11/25/2003,Caudata
Ambystomatidae,Ambystoma mabeei,yes,Ash Reining,4/25/2001,Caudata
Ambystomatidae,Ambystoma macrodactylum,yes,Lauren M. Chan,9/28/1999,Caudata
