Language,Pubs in 2016,,Language,Pubs in 2020,,Language,Pubs 2016-2020
english,"1,517",,english,"1,768",,english,"7,915"
spanish,17,,russian,8,,spanish,63
russian,16,,german,6,,russian,57
chinese,5,,portuguese,4,,chinese,40
portuguese,3,,spanish,4,,german,22
french,2,,chinese,2,,portuguese,13
german,2,,afrikaans,1,,dutch/flemish,12
polish,2,,armenian,1,,czech,5
czech,1,,dutch/flemish,1,,turkish,5
hungarian,1,,hebrew,1,,ukrainian,5
slovenian,1,,indonesian,1,,hungarian,4
turkish,1,,malay,1,,persian,4
,,,persian,1,,french,3
,,,thai,1,,hebrew,2
,,,,,,polish,2
,,,,,,slovak,2
,,,,,,slovenian,2
,,,,,,thai,2
,,,,,,afrikaans,1
,,,,,,armenian,1
,,,,,,indonesian,1
,,,,,,italian,1
,,,,,,malay,1
,,,,,,multiple languages,1
