,Family,Order,Subfamilies,Genera,Species,distinct_species,PropSp_New,PropSp_Calls,PropSp_CT,PropSp_genomes,PropSp_ncbi,PropSp_sra,PropSp_DiseaseTested,PropSp_DiseasePositive
Hynobiidae,Hynobiidae,Caudata,2,9,86,17,0.19767442,0,0.10465116,0,0.91860465,0.20930233,0.23255814,0.03488372
Cryptobranchidae,Cryptobranchidae,Caudata,0,2,4,0,0,0,0.75,0,0.75,0.5,0.75,0.75
Salamandridae,Salamandridae,Caudata,3,21,127,11,0.08661417,0,0.27559055,0.00787402,0.87401575,0.40944882,0.38582677,0.16535433
Dicamptodontidae,Dicamptodontidae,Caudata,0,1,4,0,0,0.25,0.5,0,1,0,0.5,0.25
Ambystomatidae,Ambystomatidae,Caudata,0,1,32,0,0,0.03125,0.3125,0.03125,0.875,0.59375,0.6875,0.5625
Proteidae,Proteidae,Caudata,2,2,8,2,0.25,0,0.5,0,0.75,0.125,0.5,0.5
Rhyacotritonidae,Rhyacotritonidae,Caudata,0,1,4,0,0,0,0.75,0,1,0,0,0
Plethodontidae,Plethodontidae,Caudata,2,28,492,35,0.07113821,0.00406504,0.21747967,0,0.83943089,0.1097561,0.29065041,0.13414634
Amphiumidae,Amphiumidae,Caudata,0,1,3,0,0,0,1,0,1,0,1,0.66666667
Sirenidae,Sirenidae,Caudata,0,2,5,1,0.2,0.2,1,0,1,0.2,0.8,0.6
Ascaphidae,Ascaphidae,Anura,0,1,2,0,0,0,1,0,1,1,1,0
Leiopelmatidae,Leiopelmatidae,Anura,0,1,3,0,0,0,1,0,1,0.33333333,1,0.33333333
Bombinatoridae,Bombinatoridae,Anura,0,2,10,0,0,0.3,0.6,0,1,0.4,0.5,0.4
Alytidae,Alytidae,Anura,2,3,12,0,0,0.66666667,0.41666667,0,1,0.41666667,0.66666667,0.5
Rhinophrynidae,Rhinophrynidae,Anura,0,1,1,0,0,1,1,0,1,1,1,0
Pipidae,Pipidae,Anura,0,4,41,0,0,0.6097561,0.87804878,0.04878049,0.85365854,0.36585366,0.58536585,0.48780488
Calyptocephalellidae,Calyptocephalellidae,Anura,0,2,5,0,0,0.2,0.4,0,0.6,0,0.4,0.4
Myobatrachidae,Myobatrachidae,Anura,2,21,133,1,0.0075188,0.77443609,0.16541353,0,0.79699248,0.16541353,0.33834586,0.18796992
Rhinodermatidae,Rhinodermatidae,Anura,0,2,3,0,0,0.33333333,0.33333333,0,0.66666667,0.66666667,0.66666667,0.66666667
